algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
GES_BNBuilder,res/alarm,alarm.xbif50001246_,1,-1,-1,17,-0.28615378196682145,-57421.418196339095,40.0,10.0,30.0,1,6.217
PGESwithStages,res/alarm,alarm.xbif50001246_,2,10,11,17,-0.49663413690540414,-56949.6983873771,40.0,10.0,30.0,9,5.286
PGESwithStages,res/alarm,alarm.xbif50001246_,2,10,13,20,-0.42058440159418053,-57221.09242937365,48.0,12.0,36.0,9,4.934
PGESwithStages,res/alarm,alarm.xbif50001246_,2,10,17,17,-0.4371449779228352,-57189.23526327244,42.0,8.0,34.0,8,5.237
PGESwithStages,res/alarm,alarm.xbif50001246_,2,10,19,15,-0.4238520416595512,-57042.519229710735,34.0,4.0,30.0,12,7.65
PGESwithStages,res/alarm,alarm.xbif50001246_,2,10,2,17,-0.4347802195437418,-57379.538075407305,40.0,10.0,30.0,9,9.071
PGESwithStages,res/alarm,alarm.xbif50001246_,2,10,23,22,-0.4142644229085965,-57583.461227190375,58.0,18.0,40.0,6,5.542
PGESwithStages,res/alarm,alarm.xbif50001246_,2,10,29,20,-0.49617350790404263,-57292.44246314778,48.0,12.0,36.0,9,5.172
PGESwithStages,res/alarm,alarm.xbif50001246_,2,10,3,29,-0.4508773018844127,-57813.21531715003,74.0,28.0,46.0,8,6.483
PGESwithStages,res/alarm,alarm.xbif50001246_,2,10,5,18,-0.5286566335117677,-57322.94860266359,46.0,12.0,34.0,10,6.881
PGESwithStages,res/alarm,alarm.xbif50001246_,2,10,7,19,-0.4703879638954443,-57437.21416415838,50.0,18.0,32.0,9,6.582
PGESwithStages,res/alarm,alarm.xbif50001246_,2,15,11,26,-0.3842348356079787,-57937.671210879904,60.0,22.0,38.0,9,6.035
PGESwithStages,res/alarm,alarm.xbif50001246_,2,15,13,21,-0.4624142911780195,-57513.414903693,54.0,14.0,40.0,8,5.056
PGESwithStages,res/alarm,alarm.xbif50001246_,2,15,17,15,-0.4100616053820927,-57086.112176719435,34.0,6.0,28.0,12,8.103
PGESwithStages,res/alarm,alarm.xbif50001246_,2,15,19,24,-0.4575964531841959,-57705.00835813955,62.0,24.0,38.0,6,4.907
PGESwithStages,res/alarm,alarm.xbif50001246_,2,15,2,16,-0.41372894310598407,-57129.44419623494,42.0,10.0,32.0,8,6.245
PGESwithStages,res/alarm,alarm.xbif50001246_,2,15,23,18,-0.38681937825427626,-57491.93490866119,46.0,12.0,34.0,8,5.02
PGESwithStages,res/alarm,alarm.xbif50001246_,2,15,29,19,-0.4613263925910705,-57553.49016149143,52.0,14.0,38.0,8,5.281
PGESwithStages,res/alarm,alarm.xbif50001246_,2,15,3,24,-0.41131670218046495,-57865.445942539816,60.0,22.0,38.0,8,5.563
PGESwithStages,res/alarm,alarm.xbif50001246_,2,15,5,17,-0.4752330343615896,-57433.3281631705,42.0,12.0,30.0,12,7.427
PGESwithStages,res/alarm,alarm.xbif50001246_,2,15,7,16,-0.4092536157081498,-57122.30513393162,36.0,6.0,30.0,7,5.325
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,11,22,-0.4666247291085369,-57370.246570390205,54.0,16.0,38.0,9,5.646
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,13,14,-0.42861067878417225,-57101.55872458554,32.0,4.0,28.0,9,4.763
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,17,14,-0.4039498332736867,-57003.48547426694,32.0,4.0,28.0,9,4.301
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,19,21,-0.5000981814023103,-57164.97413720538,52.0,14.0,38.0,11,4.948
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,2,16,-0.4016010017441344,-57066.17517093751,42.0,10.0,32.0,8,4.377
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,23,15,-0.433560932275285,-57042.51922971071,34.0,4.0,30.0,8,4.115
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,29,26,-0.46158696529649534,-57750.24364191954,60.0,20.0,40.0,8,4.464
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,3,18,-0.44997838891462216,-57076.10507411804,40.0,8.0,32.0,9,4.296
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,5,24,-0.4481409954015699,-57390.28690663328,58.0,18.0,40.0,9,4.693
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,7,16,-0.4337365905657013,-57177.60454797854,42.0,10.0,32.0,10,4.627
PGESwithStages,res/alarm,alarm.xbif50001246_,4,10,11,20,-0.44729000011521497,-56945.35844465345,54.0,20.0,34.0,6,5.188
PGESwithStages,res/alarm,alarm.xbif50001246_,4,10,13,22,-0.5025134310310417,-57719.24158986183,58.0,20.0,38.0,8,7.115
